date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_unlevered,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
1993-01-29,24.313037872314453,0.0,,,,,0.9384297791641049,,,,,3.03,2.19,2.11,,,0.19776505940529085,0.8023551786899472,0.0,1.000120238095238,0.8681724777533143,0.8681724777533144,0.8681724777533144,0,0,0
1993-02-01,24.485960006713867,0.00711232118781524,,,,,0.9444221776245885,,,,,3.03,2.19,2.13,,,0.19917162802750865,0.8191625992848653,0.0,1.018334227312374,0.869609523287739,0.8509701108596153,0.8509701108596153,0,0,0
1993-02-02,24.537843704223636,0.002118916207309862,0.009246307807761589,,,,0.9461956184771789,,,,,3.03,2.21,2.07,,,0.19959365601817244,0.8240555413784464,0.0,1.0236491973966189,0.870011682045121,0.8458790975680736,0.8458790975680736,0,0,0
1993-02-03,24.79722023010254,0.010570469394352466,0.012711783540581001,,,,0.9559672880558269,,,,,3.03,2.18,2.05,,,0.20170345465041944,0.8498633920908474,0.0,1.0515668467412669,0.8721251338574846,0.8178275842442525,0.8178275842442525,0,0,0
1993-02-04,24.900978088378903,0.004184253610427069,0.014798952529506915,,,,0.9597363283308685,,,,,3.03,2.2,2.09,,,0.20254743305877607,0.86020346968783,0.0,1.062750902746606,0.8729414186426901,0.8070078074760764,0.8070078074760764,0,0,0
1993-02-05,24.883684158325195,-0.0006945080627888123,0.0034868395497691385,0.023470793284147584,,,0.9588390303541777,,,,,3.03,2.25,2.14,,,0.20240676223341958,0.8580839689589352,0.0,1.0604907311923548,0.8727590562368894,0.8095836790757035,0.8095836790757035,0,0,0
1993-02-08,24.883684158325195,0.0,-0.0006945080627888123,0.016242947039947664,,,0.958147103342443,,,,,3.03,2.21,2.12,,,0.20240676223341958,0.8577568477197106,0.0,1.0601636099531302,0.8727197951126505,0.8115699926357935,0.8115699926357935,0,0,0
1993-02-09,24.71076202392578,-0.006949217539459873,-0.006949217539459873,0.007047005506534365,,,0.9512598013385944,,,,,3.03,2.21,2.08,,,0.2010001936112018,0.839554451504419,0.0,1.0405546451156207,0.8712224007618119,0.8313413574339132,0.8313413574339132,0,0,0
1993-02-10,24.74535369873047,0.0013998627307079126,-0.005559082759392986,-0.002091626839249794,,,0.9523622398219136,,,,,3.03,2.13,2.12,,,0.2012815662911032,0.8427588329932042,0.0,1.0440403992843075,0.871472683477841,0.8281765893710333,0.8281765893710333,0,0,0
1993-02-11,24.866397857666016,0.0048915913835476665,0.006298301670727202,-0.001388709736226179,,,0.9567905463760831,,,,,3.03,2.17,2.13,,,0.20226615346643972,0.8548001348880516,0.0,1.0570662883544912,0.8724355285978629,0.8154642581459085,0.8154642581459085,0,0,0
1993-02-12,24.676179885864254,-0.0076495989845637435,-0.0027954263134967183,-0.008338969066665203,,,0.9492430383885653,,,,,3.03,2.15,2.09,,,0.20071889850427124,0.8348651090998913,0.0,1.0355840076041625,0.8707853751889963,0.8371308750090214,0.8371308750090214,0,0,0
1993-02-16,24.05366325378418,-0.025227431270132827,-0.03268405052206946,-0.033356029567805034,-0.010668128758423379,,0.9244058867618365,-0.014943997636946205,,,,3.03,2.2,2.1,,,0.19565527628763799,0.7713864203216032,0.0,0.9670416966092412,0.8651176559234429,0.9,0.9,0,0,0
1993-02-17,24.03636932373047,-0.0007189728180380106,-0.025928266250818677,-0.027291457039744227,-0.018361162186825597,,0.9235190107827812,-0.02213328671969872,,,,3.03,2.22,2.13,,,0.19551460546228147,0.7694291668513752,0.0,0.9649437723136567,0.8649215902024399,0.9,0.9,0,0,0
1993-02-18,24.019062042236328,-0.0007200455801389394,-0.001438500704977197,-0.029350627408142538,-0.021142104752179702,,0.9226319951956452,-0.024903543010965756,,,,3.03,2.22,2.15,,,0.19537382603476575,0.7674744042583429,0.0,0.9628482302931086,0.8647250799673173,0.9,0.9,0,0,0
1993-02-19,24.105531692504883,0.0036000427542299818,0.0028774049792175127,-0.030598165826682733,-0.027893793384065724,,0.9257307242821035,-0.03162928705982837,,,,3.03,2.16,2.16,,,0.1960771801615484,0.7754674875737949,0.0,0.9715446677353433,0.8654533090975621,0.9,0.9,0,0,0
1993-02-22,24.191987991333008,0.0035865750621466574,0.0071995296399416375,-0.019621833556522916,-0.02847237945953518,,0.9283804959894271,-0.03267129878888109,,,,3.03,2.1,2.17,,,0.19678042568617185,0.7835124978306497,0.0,0.9802929235168215,0.8661757651102776,0.8970209359006609,0.8970209359006609,0,0,0
1993-02-23,24.17469024658203,-0.0007150195658650604,0.0028689910249377615,0.005031540997349371,-0.028492320800734827,,0.9274934760052795,-0.03269115394407729,,,,3.03,2.02,2.25,,,0.19663972383162698,0.7815337653578116,0.0,0.9781734891894386,0.8659816988807224,0.8995673024865901,0.8995673024865901,0,0,0
1993-02-24,24.485960006713867,0.012875853090851708,0.012151627038099466,0.018704600388192993,-0.015983330646730742,,0.939209716359991,-0.019764592426768313,,,,3.03,2.04,2.19,,,0.19917162802750865,0.8114130600132748,0.0,1.0105846880407836,0.8686096406139949,0.865933513524525,0.865933513524525,0,0,0
1993-02-25,24.537843704223636,0.002118916207309862,0.015022052151958842,0.021598747739401958,-0.006997692727351734,,0.940973369225844,-0.010813483444034544,,,,3.03,2.08,2.19,,,0.19959365601817244,0.8162597133151789,0.0,1.0158533693333514,0.8690141300286577,0.860870598587944,0.860870598587944,0,0,0
1993-02-26,24.57241439819336,0.0014088725311984795,0.003530774021348826,0.019368280759957113,-0.006988758481394464,,0.9420723624513866,-0.010804583529530842,,,,3.03,2.11,2.2,,,0.19987485803753793,0.8193972388785944,0.0,1.0192720969161324,0.8692695446470925,0.8577157208200279,0.8577157208200279,0,0,0
1993-03-01,24.50325584411621,-0.0028144793977685767,-0.0014095721092832747,0.012866567761802727,-0.014603724094997994,,0.938743004875926,-0.01886258342383662,,,,3.07,2.06,2.23,,,0.19931231436745936,0.8121652888937679,0.0,1.0114776032612274,0.8686329031739755,0.8672733012965385,0.8672733012965385,0,0,0
1993-03-02,24.866397857666016,0.0148201535281689,0.011963963113623466,0.02861288413744134,0.007708566426472219,0.022759804359194558,0.9524261103008733,0.0033532739072932305,0.014914628081427184,0.008037552486745187,,3.07,2.07,2.21,,,0.20226615346643978,0.8479473031463951,0.0,1.050213456612835,0.8716031474726469,0.8279932365082378,0.8279932365082378,0,0,0
