date,TQQQ_actual,TQQQ_sim
2010-02-11,0.4138335883617401,0.4138335883617401
2010-02-12,0.415527880191803,0.4163693571825903
2010-02-16,0.43162286281585693,0.4323302138668793
2010-02-17,0.4389475882053375,0.43962134369085126
2010-02-18,0.44726917147636414,0.447882391119887
2010-02-19,0.44726917147636414,0.44725857198267116
2010-02-22,0.44413018226623535,0.4445394742517217
2010-02-23,0.4267894923686981,0.4272263415002062
2010-02-24,0.43969473242759705,0.44026297023315847
2010-02-25,0.43944600224494934,0.439942686177078
2010-02-26,0.4449271559715271,0.4446527762899918
2010-03-01,0.46401190757751465,0.46399829257211356
2010-03-02,0.4668026864528656,0.468263610232599
2010-03-03,0.4693935215473175,0.4697793015540017
2010-03-04,0.4745759963989258,0.47438914573320046
2010-03-05,0.4955541789531708,0.495825026215258
2010-03-08,0.49819475412368774,0.49867962710068064
2010-03-09,0.507014811038971,0.507011897528622
2010-03-10,0.519422709941864,0.5193352776506962
2010-03-11,0.5242062211036682,0.5252517573000984
2010-03-12,0.5254019498825073,0.5255546506421018
2010-03-15,0.5218641757965088,0.5215304710787916
2010-03-16,0.5317298769950867,0.5314369930873138
2010-03-17,0.5354170203208923,0.5357666547951965
2010-03-18,0.5408494472503662,0.5411311730475112
2010-03-19,0.5312820672988892,0.5312822718600704
2010-03-22,0.54563307762146,0.5456832819358763
2010-03-23,0.5570439100265503,0.5569257679743461
2010-03-24,0.5491201877593994,0.5489308657236801
2010-03-25,0.5456827282905579,0.5464995322942955
2010-03-26,0.5485223531723022,0.5481789646931143
2010-03-29,0.5560469031333923,0.5560276097807161
2010-03-30,0.5618772506713867,0.561529992381374
2010-03-31,0.5543027520179749,0.5534923773280793
2010-04-01,0.5532065033912659,0.5534589611696019
2010-04-05,0.5692020654678345,0.5689383503282076
2010-04-06,0.57353675365448,0.5738194846646012
2010-04-07,0.5702983736991882,0.5695481780646615
2010-04-08,0.5723408460617065,0.573378297625531
2010-04-09,0.5826554298400879,0.5835776535005227
2010-04-12,0.5849975347518921,0.584970351438967
2010-04-13,0.593817412853241,0.5938759929852265
2010-04-14,0.6147460341453552,0.6151516683589733
2010-04-15,0.6229678988456726,0.6232491170640693
2010-04-16,0.6007939577102661,0.6008341878869967
2010-04-19,0.5998468399047852,0.5997061501669523
2010-04-20,0.6087165474891663,0.6087549111991373
2010-04-21,0.6194300055503845,0.6189962576574114
2010-04-22,0.6285984516143799,0.6293514067479691
2010-04-23,0.6369200348854065,0.6371947017052842
2010-04-26,0.6321860551834106,0.6329939821934234
2010-04-27,0.5931698083877563,0.5926505184250938
2010-04-28,0.59456467628479,0.5936957781223511
2010-04-29,0.6249111294746399,0.6246829084751504
2010-04-30,0.5880876183509827,0.5877113937733335
2010-05-03,0.6121051907539368,0.6123817574756295
2010-05-04,0.5579902529716492,0.5571559334043896
2010-05-05,0.5488218665122986,0.5484939321017331
2010-05-06,0.495055615901947,0.49347894633296135
2010-05-07,0.4590291976928711,0.4565756741322404
2010-05-10,0.5274943113327026,0.5277294827378646
2010-05-11,0.5271462798118591,0.5260406243429308
2010-05-12,0.555548369884491,0.5557700898670973
2010-05-13,0.5304345488548279,0.5293332232457382
2010-05-14,0.49779680371284485,0.4987703179688133
2010-05-17,0.5045233368873596,0.5035229287451928
2010-05-18,0.48523977398872375,0.4826388250874597
2010-05-19,0.472432941198349,0.4710722670163614
2010-05-20,0.4246464669704437,0.41858058640587054
2010-05-21,0.4279356896877289,0.4324284329980385
2010-05-24,0.43147364258766174,0.42719467174582515
2010-05-25,0.4284341335296631,0.42831682234509494
2010-05-26,0.4151786267757416,0.41391863523377254
2010-05-27,0.4601256847381592,0.4608078646175786
2010-05-28,0.45369741320610046,0.45264348450406044
2010-06-01,0.44114041328430176,0.44011068876126624
2010-06-02,0.4721841514110565,0.47135265163894763
2010-06-03,0.48444169759750366,0.48477665456599667
2010-06-04,0.4366055130958557,0.43491400723886925
2010-06-07,0.4112924039363861,0.4111619038288207
2010-06-08,0.40900012850761414,0.40890967557287256
2010-06-09,0.3999811112880707,0.39861534484138417
2010-06-10,0.433167040348053,0.43270221866190495
2010-06-11,0.44447848200798035,0.44506154469348497
2010-06-14,0.4447280466556549,0.44474227915868997
2010-06-15,0.47721657156944275,0.4804965821137233
2010-06-16,0.48683351278305054,0.4863317022100066
2010-06-17,0.4917166531085968,0.49096988492010246
2010-06-18,0.4930628836154938,0.4921640827840228
2010-06-21,0.4801068902015686,0.4795703431272546
2010-06-22,0.4687458276748657,0.46842889057948894
2010-06-23,0.4624667763710022,0.4626274309566712
2010-06-24,0.44004395604133606,0.44150502208065384
2010-06-25,0.4397445321083069,0.4417426606657309
2010-06-28,0.43580853939056396,0.4370333858303796
2010-06-29,0.3871753513813019,0.38643876824458384
2010-06-30,0.3680407702922821,0.3687753579853427
2010-07-01,0.36445319652557373,0.36564520684443086
2010-07-02,0.36245930194854736,0.36253383591458294
2010-07-06,0.36435264348983765,0.36584154813463476
2010-07-07,0.39878523349761963,0.4008564316055064
2010-07-08,0.4055119454860687,0.40739786340714923
2010-07-09,0.416873037815094,0.418987199050562
2010-07-12,0.4216068685054779,0.4226251045793476
2010-07-13,0.4360075891017914,0.43903314248729247
2010-07-14,0.442984014749527,0.44568934532981247
2010-07-15,0.4445282220840454,0.4468368759748972
2010-07-16,0.4087514281272888,0.40977290326315763
2010-07-19,0.4179694652557373,0.4202843680176803
2010-07-20,0.4311741590499878,0.4354838102932281
2010-07-21,0.41607609391212463,0.4175628322326324
2010-07-22,0.44413018226623535,0.44924696390660085
