date,event,decision,acted,blocked_sell,blocked_reason_sell_r3_ge_3pct,blocked_reason_sell_r6_ge_3pct,blocked_reason_sell_r12_ge_2.25pct,blocked_reason_sell_r22_ge_0.75pct,price,ref_date_22d,price_22d_ago,change_22d_abs,change_22d_rel,ret_3,ret_6,ret_12,ret_22,limit_sell_r3,limit_sell_r6,limit_sell_r12,limit_sell_r22,ratio_sell_r3,ratio_sell_r6,ratio_sell_r12,ratio_sell_r22,temp_T,base_p,rate_annual_pct,target_p,curr_p_before,curr_p_after,blocked_buy,blocked_reason_buy_r3_le_-3pct,blocked_reason_buy_r6_le_-3pct,blocked_reason_buy_r12_le_-2pct,blocked_reason_buy_r22_le_0pct,blocked_reason_buy_T_gt_1.3,limit_buy_r3,limit_buy_r6,limit_buy_r12,limit_buy_r22,ratio_buy_r3,ratio_buy_r6,ratio_buy_r12,ratio_buy_r22
1998-08-03,rebalance_due,sell,False,True,False,False,False,True,29.022921056902497,1998-07-02,28.26131617182461,0.7616048850778867,0.02694867006361079,-0.03769917062064998,-0.04061362333002383,-0.06525409073178812,0.02694867006361079,0.03,0.03,0.0225,0.0075,-1.2566390206883327,-1.3537874443341278,-2.900181810301694,3.593156008481439,2.20886921437625,0.2,5.54,0.2,0.22915463263986402,,,,,,,,,,,,,,,
1998-08-04,rebalance_due,sell,True,False,False,False,False,False,27.937033327367534,1998-07-06,28.4744627061328,-0.5374293787652675,-0.018874083220173143,-0.043579294472845254,-0.05457627861132408,-0.10140598744013751,-0.018874083220173143,0.03,0.03,0.0225,0.0075,-1.452643149094842,-1.819209287044136,-4.506932775117223,-2.5165444293564194,2.1254945745614227,0.2,5.54,0.2,0.2086577003248929,0.2,,,,,,,,,,,,,,
1998-09-03,rebalance_due,buy,False,,,,,,25.640547637909464,1998-08-05,28.205537016464167,-2.564989378554703,-0.09093921441940511,-0.005020408343691107,-0.07820642003474665,-0.1353825808547977,-0.09093921441940511,,,,,,,,,1.9307764939211656,0.2,5.51,0.2,0.14978714851657082,,True,False,True,True,True,True,-0.03,-0.03,-0.02,0.0,0.16734694478970358,2.6068806678248886,6.769129042739885,
1998-09-04,rebalance_due,buy,False,,,,,,25.565258075735542,1998-08-06,28.96841567013975,-3.403157594404206,-0.11747820913492812,-0.013123778487305171,-0.04713685183198124,-0.13788436827694373,-0.11747820913492812,,,,,,,,,1.9244459606415425,0.2,5.51,0.2,0.14855232876797522,,True,False,True,True,True,True,-0.03,-0.03,-0.02,0.0,0.4374592829101724,1.5712283943993748,6.894218413847186,
1998-09-08,rebalance_due,buy,False,,,,,,27.284439215815144,1998-08-07,28.9302388576568,-1.6457996418416556,-0.056888560441528124,0.0641129667400393,0.12814599966922402,-0.0642289601705397,-0.056888560441528124,,,,,,,,,2.0510389290744038,0.2,5.51,0.2,0.17320065933310255,,True,False,False,True,True,True,-0.03,-0.03,-0.02,0.0,-2.1370988913346434,-4.271533322307468,3.2114480085269848,
1998-09-09,rebalance_due,buy,False,,,,,,26.760583757289133,1998-08-10,28.905001670074828,-2.144417912785695,-0.07418847219807623,0.04675586211617766,0.03844251204468008,-0.079618081956074,-0.07418847219807623,,,,,,,,,2.010968590484408,0.2,5.51,0.2,0.16474788776987456,,True,False,False,True,True,True,-0.03,-0.03,-0.02,0.0,-1.558528737205922,-1.2814170681560026,3.9809040978037,
1998-09-10,rebalance_due,buy,False,,,,,,26.20067184498244,1998-08-11,28.210414618167533,-2.009742773185092,-0.071241163959739,-0.039721079193172804,0.011404616173677606,-0.11018834095069319,-0.071241163959739,,,,,,,,,1.9682169394430782,0.2,5.51,0.2,0.15590423448590218,,True,True,False,True,True,True,-0.03,-0.03,-0.02,0.0,1.3240359731057603,-0.38015387245592025,5.509417047534659,
1998-09-11,rebalance_due,buy,False,,,,,,27.36354749482158,1998-08-12,28.73066624358787,-1.3671187487662877,-0.047583955665191136,0.022531785666604298,0.06719824713746236,-0.06102404910779102,-0.047583955665191136,,,,,,,,,2.0548672499003553,0.2,5.51,0.2,0.17294413263524183,,True,False,False,True,True,True,-0.03,-0.03,-0.02,0.0,-0.7510595222201433,-2.2399415712487456,3.051202455389551,
1998-09-14,rebalance_due,buy,False,,,,,,27.745942148107645,1998-08-13,28.385599223719623,-0.6396570756119786,-0.02253456305680057,0.058978270185889636,0.08529873103224528,-0.0025161824391425336,-0.02253456305680057,,,,,,,,,2.0814373626667027,0.2,5.51,0.2,0.17876810499688117,,True,False,False,False,True,True,-0.03,-0.03,-0.02,0.0,-1.9659423395296547,-2.843291034408176,0.12580912195712668,
1998-09-15,rebalance_due,buy,False,,,,,,28.084433208142254,1998-08-14,28.208506554231555,-0.12407334608930043,-0.0043984372533429905,0.02634474617945992,0.02932052170833699,0.04675733614533217,-0.0043984372533429905,,,,,,,,,2.1061066828761703,0.2,5.51,0.2,0.18397394266795608,,True,False,False,False,True,True,-0.03,-0.03,-0.02,0.0,-0.8781582059819975,-0.977350723611233,-2.3378668072666087,
