date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,rate,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
1971-02-05,0.6314178218093996,0.0,,,,,1.6044270031057988,3.71,0.0,1.0001472222222223,1.0001472222222223,0.0,0.2,0.2,1,0,0
1971-02-08,0.636825279544585,0.008563992887767435,,,,,1.6164780705776274,3.71,0.0,1.0002944661188273,1.0002944661188273,0.0,0.2,0.2,1,0,0
1971-02-09,0.6363545998103121,-0.000739103407781716,0.007818559803658198,,,,1.6147210559820941,3.71,0.0,1.000441731693006,1.000441731693006,0.0,0.2,0.2,1,0,0
1971-02-10,0.6359469913722523,-0.0006405366413336777,-0.0013791666263009983,,,,1.613125053587266,3.71,0.0,1.0005890189479498,1.0005890189479498,0.0,0.2,0.2,1,0,0
1971-02-11,0.6407817732596457,0.0076024919576407335,0.0069570856416427684,,,,1.6248230360275584,3.71,0.0,1.0007363278868506,1.0007363278868506,0.0,0.2,0.2,1,0,0
1971-02-12,0.6446064987931602,0.005968842581239864,0.013616712616600912,0.02088740058994043,,,1.6339523821701414,3.71,0.0,1.0008836585129006,1.0008836585129006,0.0,0.2,0.2,1,0,0
1971-02-16,0.6456308159884272,0.0015890581264457193,0.0075673855454947425,0.013827240730988732,,,1.6342713268637628,3.71,0.0,1.0010310108292928,1.0010310108292928,0.0,0.2,0.2,1,0,0
1971-02-17,0.6428225625465939,-0.004349627329256367,-0.002767481013465245,0.010164085775776321,,,1.6265964503012333,3.71,0.0,1.0011783848392206,1.0011783848392206,0.0,0.2,0.2,1,0,0
1971-02-18,0.6408354554590998,-0.00309122175118115,-0.0074274034178277715,0.007686904967187713,,,1.6210038220751044,3.71,0.0,1.0013257805458775,1.0013257805458775,0.0,0.2,0.2,1,0,0
1971-02-19,0.6363205322829115,-0.00704537044217346,-0.010114813390998623,-0.0069621845734467724,,,1.6090229636768392,3.71,0.0,1.001473197952458,1.001473197952458,0.0,0.2,0.2,1,0,0
1971-02-22,0.6299776588152589,-0.0099680477775822,-0.016943189630577282,-0.022694217333039002,,,1.5913212010805105,3.71,0.0,1.0016206370621568,1.0016206370621568,0.0,0.2,0.2,1,0,0
1971-02-23,0.6302646345279175,0.0004555331584270572,-0.009517055395442675,-0.02380026027255977,-0.0018263457914089454,,1.5914919192429504,3.71,0.0,1.0017680978781687,1.0017680978781687,0.0,0.2,0.2,1,0,0
1971-02-24,0.6361138257444463,0.00928053217028424,0.009740292918842819,-0.01043637419254606,-0.0011171883764531376,,1.6057026813868702,3.71,0.0,1.0019155804036897,1.0019155804036897,0.0,0.2,0.2,1,0,0
1971-02-25,0.6398777465852739,0.005917055546501571,0.01525250114113863,-0.0014944692364747825,0.005536452122781865,,1.6146414709115566,3.71,0.0,1.0020630846419158,1.0020630846419158,0.0,0.2,0.2,1,0,0
1971-02-26,0.6406077460211422,0.001140842043287238,0.007064648015528752,0.006737506524973513,0.007328841416220699,,1.6159208338607502,3.71,0.0,1.0022106105960438,1.0022106105960438,0.0,0.2,0.2,1,0,0
1971-03-01,0.6434938205378772,0.004505213267651742,0.0056511950476487716,0.0214549857974915,0.004232403903181137,,1.6215064132064194,3.71,0.0,1.0023581582692704,1.0023581582692704,0.0,0.2,0.2,1,0,0
1971-03-02,0.643908058660787,0.0006437328684270049,0.005151846289938478,0.02164713579889943,-0.0010835139479369316,,1.6219854304716022,3.71,0.0,1.0025057276647935,1.0025057276647935,0.0,0.2,0.2,1,0,0
1971-03-03,0.645397300952092,0.0023128182219094295,0.002958039927444478,0.014594047215970019,-0.00036168508465272975,,1.6251708790004424,3.71,0.0,1.0026533187858109,1.0026533187858109,0.0,0.2,0.2,1,0,0
1971-03-04,0.6499219212577323,0.007010596881898312,0.009339629340022526,0.01569702138581852,0.011044040960562551,,1.6359946189779206,3.71,0.0,1.002800931635521,1.002800931635521,0.0,0.2,0.2,1,0,0
1971-03-05,0.6513483960983079,0.0021948403245346526,0.00922082434716831,0.01676634437200697,0.016405054604346825,,1.6390146364035152,3.71,0.0,1.0029485662171231,1.0029485662171231,0.0,0.2,0.2,1,0,0
1971-03-08,0.6592338710692884,0.012106385796320396,0.014327797704585254,0.02446029787551751,0.03600911431251674,,1.657125469052719,3.71,0.0,1.0030962225338163,1.0030962225338163,0.0,0.2,0.2,1,0,0
1971-03-09,0.6604081410449266,0.0017812646272763466,0.013909215100379901,0.025624904304593965,0.04830406571384693,0.045913051919332704,1.6594993854013032,3.71,0.0,1.0032439005888005,1.0032439005888005,0.0,0.2,0.2,1,0,0
1971-03-10,0.6587360390589745,-0.0025319221281955295,-0.0007551675242452038,0.02066748355966963,0.04517373016238291,0.03440623388892261,1.6547214632975817,3.71,0.0,1.003391600385276,1.003391600385276,0.0,0.2,0.2,1,0,0
1971-03-11,0.6595308712504605,0.0012066019533734096,-0.0013283751970077917,0.014784775952983553,0.03681266552980378,0.0364203723003762,1.6561413601299668,3.71,0.0,1.003539321926444,1.003539321926444,0.0,0.2,0.2,1,0,0
1971-03-12,0.6610848973565999,0.0023562598414734737,0.003565704862574126,0.014948223280529138,0.033142503993143446,0.03952830397090934,1.6594658085682046,3.71,0.0,1.0036870652155054,1.0036870652155054,0.0,0.2,0.2,1,0,0
1971-03-15,0.665178550316481,0.0061923256396414494,0.008563176209344991,0.009017557361775452,0.03835545924623873,0.03807345663521189,1.6679986877674593,3.71,0.0,1.0038348302556623,1.0038348302556623,0.0,0.2,0.2,1,0,0
1971-03-16,0.6679354606109271,0.00414461695004209,0.010362607407489843,0.011397981184923633,0.03798271139980791,0.0361910124416116,1.6743288769171607,3.71,0.0,1.0039826170501167,1.0039826170501167,0.0,0.2,0.2,1,0,0
1971-03-17,0.6675920170720641,-0.000514186712813447,0.0036282991302631906,0.013443894804572531,0.036781584098412035,0.03401510668293528,1.6728854353995377,3.71,0.0,1.0041304256020713,1.0041304256020713,0.0,0.2,0.2,1,0,0
1971-03-18,0.6700329224788989,0.003656283095684998,0.0031402163706855113,0.0159235172851373,0.0381712496945128,0.042329503532839485,1.6784175279239957,3.71,0.0,1.0042782559147294,1.0042782559147294,0.0,0.2,0.2,1,0,0
